text,label,id
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",positive,2567
a dashing and absorbing outing with one of france 's most inventive directors .,positive,1440
opera on film is never satisfactory .,negative,6529
it 'll keep you wide awake and ... very tense .,positive,850
"`` freaky friday , '' it 's not .",negative,6285
"holm does his sly , intricate magic , and iben hjelje is entirely appealing as pumpkin .",positive,1048
"when ` science fiction ' takes advantage of the fact that its intended audience has n't yet had much science , it does a disservice to the audience and to the genre .",negative,7429
plays like a glossy melodrama that occasionally verges on camp .,negative,6554
"i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere .",negative,7360
frequent flurries of creative belly laughs and genuinely enthusiastic performances ... keep the movie slaloming through its hackneyed elements with enjoyable ease .,positive,1722
"the movie resolutely avoids all the comic possibilities of its situation , and becomes one more dumb high school comedy about sex gags and prom dates .",negative,7109
"a solidly constructed , entertaining thriller that stops short of true inspiration .",positive,3030
but they fascinate in their recklessness .,positive,2456
genuinely unnerving .,positive,8364
kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,negative,6043
a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children 's television .,negative,1430
